longitude,latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension
-77.039492,38.864992,0,0,123,11.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.03974,38.865007,0,0,124,11.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.039794,38.865006,0,0,125,11.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.039942,38.865008,0,0,126,11.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.040171,38.865039,0,0,127,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.040298,38.865065,0,0,128,10.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.04062,38.865128,0,0,129,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.040689,38.865138,0,0,130,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040761,38.86514,0,0,131,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040831,38.865132,0,0,132,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04096,38.865085,0,0,133,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.041014,38.865045,0,0,134,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.04115,38.864904,0,0,135,8.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04148,38.864558,0,0,136,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.041528,38.864506,0,0,137,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.041805,38.86424,0,0,138,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.041947,38.864151,0,0,139,8.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.042264,38.863987,0,0,140,8.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.042435,38.863832,0,0,141,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.042477,38.863791,0,0,142,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.042873,38.863435,0,0,143,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.042979,38.863328,0,0,144,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.043045,38.863266,0,0,145,10.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.043189,38.863137,0,0,146,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.043225,38.863103,0,0,147,12.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.043306,38.863035,0,0,148,13.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.043463,38.862904,0,0,149,10.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.043571,38.862827,0,0,150,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.043601,38.862807,0,0,151,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.043792,38.862667,0,0,152,8.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.043828,38.862631,0,0,153,8.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.043863,38.862594,0,0,154,8.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.044,38.862439,0,0,155,8,,,,,,,,,,,,,,,,,,,,,,,        
-77.044111,38.862324,0,0,156,8,,,,,,,,,,,,,,,,,,,,,,,        
-77.044422,38.861999,0,0,157,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.044718,38.861608,0,0,158,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.044792,38.861474,0,0,159,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.044898,38.861285,0,0,160,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.044961,38.861175,0,0,161,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.045029,38.861062,0,0,162,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.045199,38.860773,0,0,163,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.045212,38.860728,0,0,164,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.045222,38.860673,0,0,165,9.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.045266,38.860505,0,0,166,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.045296,38.860429,0,0,167,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.045359,38.860281,0,0,168,10.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.045395,38.860177,0,0,169,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.045447,38.860046,0,0,170,11.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.045474,38.859981,0,0,171,12.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.045524,38.859893,0,0,172,12.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.045599,38.859819,0,0,173,13.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.045737,38.859698,0,0,174,14,,,,,,,,,,,,,,,,,,,,,,,        
-77.04582,38.859627,0,0,175,14.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.045921,38.859532,0,0,176,15,,,,,,,,,,,,,,,,,,,,,,,        
-77.04596,38.859464,0,0,177,15.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046037,38.859236,0,0,178,15.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046049,38.859183,0,0,179,15.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046124,38.858779,0,0,180,13.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046201,38.858588,0,0,181,12.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046306,38.858391,0,0,182,12.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.04637,38.85827,0,0,183,12.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046399,38.858157,0,0,184,12.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046419,38.857993,0,0,185,13,,,,,,,,,,,,,,,,,,,,,,,        
-77.046438,38.85787,0,0,186,13.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046457,38.857831,0,0,187,14,,,,,,,,,,,,,,,,,,,,,,,        
-77.046554,38.857668,0,0,188,15,,,,,,,,,,,,,,,,,,,,,,,        
-77.046608,38.857488,0,0,189,15.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046636,38.857341,0,0,190,15.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.04666,38.857127,0,0,191,15.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04669,38.856746,0,0,192,15.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046688,38.856699,0,0,193,16,,,,,,,,,,,,,,,,,,,,,,,        
-77.046681,38.856654,0,0,194,15.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046665,38.856609,0,0,195,15.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046608,38.856521,0,0,196,16,,,,,,,,,,,,,,,,,,,,,,,        
-77.04658,38.856475,0,0,197,16,,,,,,,,,,,,,,,,,,,,,,,        
-77.046464,38.856317,0,0,198,17.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046431,38.856276,0,0,199,17.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.046406,38.856232,0,0,200,17.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.046385,38.856188,0,0,201,17.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046352,38.8561,0,0,202,18.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046316,38.855963,0,0,203,18.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.046307,38.855914,0,0,204,18.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.046298,38.855761,0,0,205,19,,,,,,,,,,,,,,,,,,,,,,,        
-77.046302,38.85571,0,0,206,19,,,,,,,,,,,,,,,,,,,,,,,        
-77.046308,38.855655,0,0,207,18.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046332,38.855541,0,0,208,18.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.046399,38.855356,0,0,209,18.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046493,38.855061,0,0,210,17.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046514,38.854991,0,0,211,16.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046556,38.854844,0,0,212,15.8,,,,,,,,,,,,,,,,,,,,,,,        
